,batting_team,bowling_team,city,current_score,balls_left,wicket_left,crr,last_five,runs_x
26458,Chennai Super Kings,Royal Challengers Bangalore,Port Elizabeth,115,44,8,9.078947368421053,32.0,179
21952,Delhi Capitals,Kings XI Punjab,Dubai,137,19,7,8.138613861386139,43.0,164
21167,Royal Challengers Bangalore,Kolkata Knight Riders,Sharjah,88,51,9,7.6521739130434785,31.0,194
29959,Kings XI Punjab,Chennai Super Kings,Chennai,122,10,5,6.654545454545454,33.0,136
44483,Sunrisers Hyderabad,Rajasthan Royals,Hyderabad,28,79,7,4.097560975609756,24.0,136
8308,Delhi Capitals,Mumbai Indians,Mumbai,40,89,8,7.741935483870968,36.0,213
51118,Kings XI Punjab,Mumbai Indians,Mumbai,148,19,6,8.792079207920793,50.0,177
39776,Royal Challengers Bangalore,Mumbai Indians,Bangalore,31,85,8,5.314285714285714,30.0,156
54904,Mumbai Indians,Kolkata Knight Riders,Mumbai,42,86,9,7.411764705882353,41.0,171
19832,Delhi Capitals,Mumbai Indians,Abu Dhabi,116,28,7,7.565217391304348,35.0,162
14209,Kings XI Punjab,Kolkata Knight Riders,Chandigarh,109,42,7,8.384615384615385,41.0,183
28164,Kings XI Punjab,Mumbai Indians,Centurion,64,68,7,7.384615384615385,39.0,119
33167,Chennai Super Kings,Kings XI Punjab,Chandigarh,91,50,8,7.8,54.0,188
41542,Rajasthan Royals,Chennai Super Kings,Chennai,113,40,7,8.475,34.0,185
41417,Rajasthan Royals,Royal Challengers Bangalore,Bangalore,80,44,7,6.315789473684211,35.0,117
53211,Chennai Super Kings,Kolkata Knight Riders,Chennai,90,40,5,6.75,26.0,134
40580,Royal Challengers Bangalore,Chennai Super Kings,Chennai,124,23,8,7.670103092783505,52.0,165
7467,Kings XI Punjab,Chennai Super Kings,Pune,50,74,7,6.521739130434782,35.0,153
18433,Rajasthan Royals,Sunrisers Hyderabad,Dubai,87,46,7,7.054054054054054,33.0,154
25733,Royal Challengers Bangalore,Chennai Super Kings,Chennai,86,26,5,5.48936170212766,42.0,126
33677,Kings XI Punjab,Rajasthan Royals,Chandigarh,183,13,6,10.261682242990654,51.0,195
10813,Kolkata Knight Riders,Chennai Super Kings,Chennai,44,66,5,4.888888888888889,28.0,108
2710,Mumbai Indians,Chennai Super Kings,Mumbai,127,23,6,7.855670103092783,40.0,165
5422,Chennai Super Kings,Kolkata Knight Riders,Kolkata,130,24,6,8.125,33.0,177
28955,Chennai Super Kings,Kings XI Punjab,Durban,102,19,4,6.0594059405940595,23.0,116
45837,Rajasthan Royals,Kings XI Punjab,Sharjah,165,16,5,9.51923076923077,45.0,191
48453,Sunrisers Hyderabad,Kings XI Punjab,Hyderabad,55,81,10,8.461538461538462,44.0,205
33508,Rajasthan Royals,Kolkata Knight Riders,Kolkata,38,80,8,5.7,25.0,81
48994,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,91,38,7,6.658536585365853,48.0,160
52203,Rajasthan Royals,Kings XI Punjab,Ahmedabad,96,50,9,8.228571428571428,47.0,191
